mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
건축학개론,Architecture 101,20124074,2012,한국,장편,멜로/로맨스(1),개봉,이용주,4
타이타닉,Titanic,19980074,1997,미국,장편,드라마(2),개봉,제임스 카메론,4
써니,Sunny,20110193,2011,한국,장편,드라마(1),개봉,강형철,4
과속스캔들,Scandal Makers,20081672,2008,한국,장편,코미디,개봉,강형철,4
사마리아,Samaritan Girl,20040505,2004,한국,장편,드라마,개봉,김기덕,4
봄 여름 가을 겨울 그리고 봄,"Spring, Summer, Fall, Winter And Spring",20030125,2003,한국,장편,드라마,개봉,김기덕,4
뫼비우스,Moebius,20139461,2013,한국,장편,드라마,개봉,김기덕,4
피에타,Pieta,20124934,2012,한국,장편,드라마,개봉,김기덕,4
터미널,The Terminal,20040631,2004,미국,장편,드라마,개봉,스티븐 스필버그,4
큐브,Cube,19990285,1997,캐나다,장편,공포(호러)(3),개봉,빈센조 나탈리,4
세 얼간이,3 Idiots,20110899,2009,인도,장편,코미디,개봉,라즈쿠마르 히라니,4
박쥐,Thirst,20081003,2008,한국(2),장편,공포(호러)(1),개봉,박찬욱,4
원스,Once,20070454,2006,아일랜드,장편,드라마,개봉,존 카니,4
대부,,19770092,1972,미국,장편,드라마(2),개봉,프란시스 포드 코폴라,4
왕의 남자,King And The Clown,20050333,2005,한국,장편,드라마,개봉,이준익,4
메멘토,Memento,20010238,2000,미국,장편,미스터리(2),개봉,크리스토퍼 놀란,4
레옹,Leon,19950095,1994,프랑스,장편,액션(1),개봉,뤽 베송,4
광복절 특사,Jail Breakers,20020220,2002,한국,장편,드라마(1),개봉,김상진,4
"장화, 홍련",A Tale Of Two Sisters,20030131,2003,한국,장편,공포(호러),개봉,김지운,4
,,,,,,,,,
,,,,,,,,,
