mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
끝까지 간다,A Hard Day,20130442,2013,한국,장편,액션(2),개봉,김성훈,4
군도: 민란의 시대,KUNDO : Age of the Rampant,20123501,2013,한국,장편,사극(1),개봉,윤종빈,4
"님아, 그 강을 건너지 마오",,20141111,2014,한국,장편,다큐멘터리,개봉,진모영,4
카핑 베토벤,Copying Beethoven,20070457,2006,독일,장편,드라마(1),개봉,아그네츠카 홀란드,4
불량남녀,Romantic Debtors,20101009,2010,한국,장편,코미디,개봉,신근호,4
300: 제국의 부활,300: Rise of an Empire,20147247,2014,미국,장편,액션(2),개봉,노암 머로,4
우리 형,My Brother,20040628,2004,한국,장편,드라마,개봉,안권태,4
에이트 빌로우,Eight Below,20060074,2006,미국,장편,어드벤처(1),개봉,프랭크 마샬,4
오션스 트웰브,,20048103,2004,호주(1),장편,범죄(1),개봉,스티븐 소더버그,4
혹성탈출: 반격의 서막,Dawn of the Planet of the Apes,20148973,2014,미국,장편,액션(3),개봉,맷 리브스,4
아름다운 비행,Fly Away Home,19960366,1996,미국,장편,가족(2),개봉,캐롤 발라드,4
두사부일체,"My Boss, My Hero",20010052,2001,한국,장편,코미디,개봉,"윤제균 , 이경원",4
한공주,HAN Gong-ju,20134122,2013,한국,장편,드라마,개봉,이수진,4
슈퍼 배드,Despicable Me,20100814,2010,미국,장편,애니메이션(1),개봉,피에르 꼬팽,4
인어공주,The Little Mermaid,19970306,1989,미국,장편,애니메이션(3),개봉,존 머스커,4
타잔,Tarzan,19990226,1999,미국,장편,애니메이션(2),개봉,케빈 리마 ,4
색즉시공 시즌2,Sex Is Zero 2,20070637,2007,한국,장편,코미디,개봉,윤태윤,4
혹성탈출: 진화의 시작,Rise of the Planet of the Apes,20110896,2011,미국,장편,액션(2),개봉,루퍼트 와이어트,4
국화꽃 향기,Scent of Love,20030014,2003,한국,장편,드라마,개봉,이정욱,4
드럼라인,Drumline,20030038,2003,미국,장편,드라마(2),개봉,찰스 스톤 3세,4
파수꾼,Bleak Night,20101344,2010,한국,장편,드라마,개봉,윤성현,4
천공의 성 라퓨타,Laputa : Castle In The Sky,20040549,1986,일본,장편,애니메이션,개봉,미야자키 하야오,4
에너미 앳 더 게이트,Enemy At The Gates,20010190,2001,미국,장편,드라마(1),개봉,장 자끄 아노,4
수상한 그녀,Miss Granny,20131102,2013,한국,장편,드라마,개봉,황동혁,4
패닉 룸,The Panic Room,20020159,2002,미국,장편,스릴러,개봉,데이빗 핀처,4
주먹이 운다(Crying Fist),Crying Fist,20050049,2004,한국,장편,드라마,개봉,류승완,4
디스터비아,Disturbia,20070294,2007,미국,장편,스릴러,개봉,D.J. 카루소,4
씨스터 액트 2,Sister Act 2,19940160,1993,미국,장편,코미디,개봉,빌 듀크,4
겨울왕국,Frozen,20136803,2013,미국,장편,애니메이션(5),개봉,크리스 벅,4
밀리언 달러 베이비,Million Dollar Baby,20050028,2005,미국,장편,드라마,개봉,클린트 이스트우드,4
사생결단,Bloody Tie,20060100,2006,한국,장편,액션,개봉,최호,4
우아한 세계,The Show Must Go On,20070072,2006,한국,장편,액션,개봉,한재림,4
딥 임팩트,Deep Impact,19980129,1998,미국,장편,SF(1),개봉,미미 레더,4
퍼펙트 게임,Perfect Game,20113260,2011,한국,장편,드라마,개봉,박희곤,4
미스터 소크라테스,Mr. Socrates,20050280,2005,한국,장편,액션,개봉,최진원,4
숨바꼭질,Hide and Seek,20136049,2013,한국,장편,스릴러,개봉,허정,4
블라인드 사이드,The Blind Side,20100165,2010,미국,장편,드라마,개봉,존 리 행콕,4
더블타겟,Shooter,20070113,2007,미국,장편,액션(2),개봉,안톤 후쿠아,4
킬 빌2,Kill Bill: Volume 2,20040556,2004,미국,장편,액션,개봉,쿠엔틴 타란티노,4
21,21,20080835,2008,미국,장편,범죄(1),개봉,로버트 루케틱,4
드림걸즈,Dreamgirls,20060423,2006,미국,장편,드라마(1),개봉,빌 콘돈,4
그대를 사랑합니다,Late Blossom,20119337,2010,한국,장편,드라마,개봉,추창민,4
변호인,The Attorney,20134803,2013,한국,장편,드라마,개봉,양우석,4
오션스 써틴,Ocean`S Thirteen,20070058,2006,미국,장편,범죄(2),개봉,스티븐 소더버그,4
스튜어트 리틀,Stuart Little,20000075,1999,미국(1),장편,코미디(2),개봉,롭 민코프,4
벅스 라이프,,19980282,1998,미국,장편,애니메이션(1),개봉,존 라세터,4
